 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166
Eb major (3b), C major (0), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), C major (0), C major (0), C major (0), C major (0), D major (2#), C major (0), C major (0), C major (0), C major (0), F major (1b), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), F major (1b), D major (2#), A major (3#), C major (0), C major (0), G major (1#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), A major (3#), A major (3#), C major (0), C major (0), C major (0), C major (0), C major (0), F major (1b), C major (0), G major (1#), D major (2#), D major (2#), G major (1#), D major (2#), G major (1#), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), F major (1b), C major (0), A major (3#), C major (0), C major (0), G major (1#), G major (1#), G major (1#), D major (2#), D major (2#), D major (2#), D major (2#), A major (3#), D major (2#), G major (1#), C major (0), C major (0), C major (0), G major (1#), A major (3#), A major (3#), D major (2#), D major (2#), D major (2#), A major (3#), D major (2#), G major (1#), C major (0), C major (0), G major (1#), C major (0), C major (0), F major (1b), D major (2#), A major (3#), C major (0), C major (0), G major (1#), G major (1#), G major (1#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), C major (0), C major (0), G major (1#), C major (0), C major (0), G major (1#), A major (3#), A major (3#), C major (0), F major (1b), C major (0), C major (0), C major (0), C major (0), C major (0), F major (1b), C major (0), F major (1b), C major (0), F major (1b), D major (2#), D major (2#), G major (1#), C major (0), G major (1#), C major (0), G major (1#), D major (2#), C major (0), C major (0), G major (1#), D major (2#), D major (2#), G major (1#), C major (0), F major (1b), C major (0), A major (3#), A major (3#), A major (3#), D major (2#), D major (2#), A major (3#), D major (2#), D major (2#), D major (2#), G major (1#), C major (0), C major (0), C major (0), C major (0), C major (0), A major (3#), G major (1#), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), A major (3#), A major (3#), A major (3#)
A major (3#), A major (3#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), A major (3#), A minor (0), D major (2#), A major (3#), A major (3#), A major (3#), D major (2#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), D major (2#), G major (1#), D major (2#), D major (2#), D major (2#), G major (1#), E major (4#), E major (4#), A minor (0), A major (3#), A major (3#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), D major (2#), G major (1#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), G major (1#), G major (1#), D major (2#), D major (2#), D major (2#), G major (1#), D major (2#), A major (3#), A minor (0), A major (3#), D major (2#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), A major (3#), A major (3#), A major (3#), D major (2#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D minor (1b), D major (2#), A major (3#), A minor (0), A major (3#), A major (3#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), D major (2#), A major (3#), A major (3#), A major (3#), D major (2#), D major (2#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), D major (2#), D minor (1b), D major (2#), D minor (1b), D major (2#), D major (2#), D major (2#), A major (3#), A major (3#), A minor (0), A major (3#), A major (3#), D major (2#), G major (1#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), D major (2#), A major (3#), A major (3#), A major (3#), D major (2#), D major (2#), A major (3#), D major (2#), D major (2#), D major (2#), A major (3#), A minor (0), D major (2#), D major (2#), D major (2#), G major (1#), A major (3#), E minor (1#), A minor (0), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), A minor (0), A major (3#), A major (3#), A major (3#)
C minor (3b), G major (1#), G major (1#), C major (0), G major (1#), G major (1#), G major (1#), C major (0), G major (1#), G major (1#), C major (0), G major (1#), C major (0), C major (0), C major (0), G major (1#), D major (2#), D major (2#), G major (1#), C major (0), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), D major (2#), G major (1#), C major (0), C major (0), G major (1#), G major (1#), A major (3#), A major (3#), D major (2#), D major (2#), A major (3#), A major (3#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), C major (0), C major (0), C major (0), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), C major (0), C major (0), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), A major (3#), A major (3#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), D minor (1b), D major (2#), A major (3#), A minor (0), A major (3#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), C major (0), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), A major (3#), A major (3#), C major (0), C major (0), G major (1#), D major (2#), G major (1#), C major (0), C major (0), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), D major (2#), D major (2#), G major (1#), C major (0), G major (1#), C major (0), G major (1#), D major (2#), G major (1#), G major (1#), G major (1#), D major (2#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), A major (3#), A major (3#), A major (3#), D major (2#), D major (2#), A major (3#), D major (2#), G major (1#), G major (1#), G major (1#), C major (0), G major (1#), G major (1#), G major (1#), G major (1#), A major (3#), G major (1#), C major (0), C major (0), G major (1#), C major (0), G major (1#), C major (0), G major (1#), C major (0), A major (3#), A major (3#), A major (3#)
F# minor (3#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), F# minor (3#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), C# minor (4#), C# minor (4#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), F# minor (3#), B minor (2#), F# minor (3#), B minor (2#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), F# minor (3#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), F# minor (3#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), F# minor (3#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), E minor (1#), B minor (2#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), F# minor (3#), A major (3#), A minor (0), A major (3#), F# minor (3#), B minor (2#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), F# minor (3#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), A minor (0), B minor (2#), B minor (2#), B minor (2#), E minor (1#), F# minor (3#), F# major (6#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), A minor (0), A major (3#), F# minor (3#), F# minor (3#)
Ab major (4b), D major (2#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), D major (2#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), F major (1b), D major (2#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), F major (1b), C major (0), G major (1#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), D major (2#), A major (3#), D major (2#), D major (2#), G major (1#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), A major (3#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), F major (1b), D major (2#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), D major (2#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), D major (2#), F major (1b), C major (0), F major (1b), D major (2#), D major (2#), G major (1#), C major (0), G major (1#), C major (0), G major (1#), D major (2#), D major (2#), G major (1#), G major (1#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), D major (2#), A major (3#), A major (3#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), C major (0), G major (1#), G major (1#), G major (1#), G major (1#), D major (2#), G major (1#), C major (0), A major (3#), D major (2#), D minor (1b), D major (2#), D major (2#), G major (1#), C major (0), A major (3#), A major (3#), D major (2#)
E major (4#), A major (3#), E major (4#), A major (3#), A major (3#), A major (3#), E major (4#), B major (5#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), E major (4#), A major (3#), A major (3#), A major (3#), D major (2#), A major (3#), A major (3#), D major (2#), B minor (2#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E major (4#), E major (4#), E minor (1#), E major (4#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), D major (2#), B minor (2#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), B minor (2#), D major (2#), A major (3#), A major (3#), D major (2#), B minor (2#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E major (4#), E minor (1#), E major (4#), E minor (1#), E minor (1#), E minor (1#), E major (4#), E minor (1#), E minor (1#), E minor (1#), E major (4#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E major (4#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), E major (4#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E major (4#), E major (4#), A minor (0), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), A major (3#), D major (2#), B minor (2#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E major (4#), A major (3#), A major (3#), D major (2#), D major (2#), A major (3#), E major (4#), E minor (1#), B minor (2#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E major (4#), E major (4#), E minor (1#), A major (3#), A major (3#), A minor (0), E minor (1#), E major (4#), E minor (1#), E minor (1#), E minor (1#), E major (4#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E major (4#), A major (3#), A major (3#), A major (3#), D major (2#), A major (3#), E major (4#), E minor (1#), B minor (2#), E minor (1#), A minor (0), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E major (4#), E minor (1#), A minor (0), A major (3#), E minor (1#), E minor (1#), B minor (2#), E minor (1#), E minor (1#), A minor (0), A major (3#), E major (4#), E major (4#)
F minor (4b), D major (2#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), C major (0), D major (2#), C major (0), C major (0), D major (2#), D major (2#), D minor (1b), D major (2#), D major (2#), D major (2#), D major (2#), C major (0), C major (0), C major (0), C major (0), C major (0), F major (1b), D major (2#), G major (1#), C major (0), C major (0), G major (1#), D major (2#), D major (2#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), C major (0), C major (0), C major (0), F major (1b), C major (0), G major (1#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), F major (1b), D major (2#), A major (3#), C major (0), C major (0), G major (1#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), A major (3#), D major (2#), D major (2#), C major (0), C major (0), C major (0), G major (1#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), C major (0), C major (0), G major (1#), C major (0), C major (0), F major (1b), D major (2#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), D major (2#), D major (2#), A major (3#), D major (2#), D major (2#), D minor (1b), D major (2#), D major (2#), D major (2#), C major (0), C major (0), F major (1b), C major (0), F major (1b), C major (0), F major (1b), D major (2#), D major (2#), G major (1#), C major (0), G major (1#), C major (0), G major (1#), D major (2#), D major (2#), G major (1#), G major (1#), D major (2#), D major (2#), D major (2#), C major (0), F major (1b), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D minor (1b), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), C major (0), C major (0), C major (0), C major (0), F major (1b), D major (2#), G major (1#), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), D major (2#), A major (3#), D major (2#)
C# minor (4#), F# minor (3#), C# minor (4#), G# minor (5#), F# minor (3#), F# minor (3#), C# minor (4#), G# minor (5#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E major (4#), E major (4#), E minor (1#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), B minor (2#), E minor (1#), E minor (1#), E minor (1#), C# minor (4#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), F# minor (3#), F# minor (3#), F# minor (3#), B minor (2#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), B minor (2#), F# minor (3#), B minor (2#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), C# minor (4#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), C# minor (4#), F# minor (3#), B minor (2#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E major (4#), E major (4#), B minor (2#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), E minor (1#), B minor (2#), F# minor (3#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), F# minor (3#), C# minor (4#), F# minor (3#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), E minor (1#), E minor (1#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), F# minor (3#), F# minor (3#), E minor (1#), F# minor (3#), F# minor (3#), B minor (2#), E minor (1#), F# minor (3#), C# minor (4#), F# minor (3#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), B minor (2#), F# minor (3#), C# minor (4#), F# minor (3#), B minor (2#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E major (4#), E minor (1#), B minor (2#), F# minor (3#), B minor (2#), B minor (2#), F# minor (3#), B minor (2#), B minor (2#), E minor (1#), F# minor (3#), C# minor (4#), C# minor (4#)
Db major (5b), D major (2#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), D major (2#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), E major (4#), E major (4#), G major (1#), D major (2#), G major (1#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), D major (2#), D major (2#), G major (1#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), D major (2#), A major (3#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), D major (2#), D major (2#), D major (2#), D major (2#), A major (3#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), G major (1#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), D minor (1b), D major (2#), A major (3#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), D major (2#), D major (2#), D major (2#), G major (1#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), D major (2#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), D major (2#), D minor (1b), D major (2#), D minor (1b), D major (2#), D major (2#), G major (1#), C major (0), G major (1#), C major (0), G major (1#), D major (2#), D major (2#), G major (1#), G major (1#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), C major (0), G major (1#), G major (1#), G major (1#), G major (1#), D major (2#), G major (1#), C major (0), A major (3#), D major (2#), G major (1#), D major (2#), G major (1#), G major (1#), C major (0), A major (3#), A major (3#), D major (2#)
B major (5#), B minor (2#), B major (5#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E major (4#), E major (4#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), B major (5#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B major (5#), B major (5#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E major (4#), E major (4#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), B minor (2#), B major (5#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), E minor (1#), B minor (2#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), F# minor (3#), B minor (2#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E major (4#), E minor (1#), B minor (2#), B major (5#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E major (4#), E major (4#), E major (4#)
Bb minor (5b), D major (2#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), D major (2#), G major (1#), C major (0), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), F major (1b), D major (2#), E major (4#), G major (1#), D major (2#), G major (1#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), D major (2#), D major (2#), G major (1#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), E major (4#), G major (1#), D major (2#), G major (1#), G major (1#), G major (1#), D major (2#), D major (2#), D major (2#), D major (2#), A major (3#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), G major (1#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), F major (1b), D major (2#), A major (3#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), A major (3#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), F major (1b), G major (1#), F major (1b), D major (2#), D major (2#), G major (1#), C major (0), G major (1#), C major (0), G major (1#), D major (2#), D major (2#), G major (1#), G major (1#), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), G major (1#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), C major (0), G major (1#), G major (1#), G major (1#), G major (1#), D major (2#), G major (1#), C major (0), A major (3#), G major (1#), G major (1#), D major (2#), G major (1#), G major (1#), C major (0), A major (3#), A major (3#), D major (2#)
G# minor (5#), F# minor (3#), C# minor (4#), G# minor (5#), B minor (2#), F# minor (3#), C# minor (4#), G# minor (5#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), F# minor (3#), C# minor (4#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E major (4#), C# minor (4#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), B minor (2#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), B major (5#), B minor (2#), F# minor (3#), B minor (2#), B minor (2#), F# minor (3#), C# minor (4#), B minor (2#), B minor (2#), B minor (2#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), F# minor (3#), C# minor (4#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), D minor (1b), B minor (2#), B major (5#), B minor (2#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), B minor (2#), B major (5#), B minor (2#), B minor (2#), B minor (2#), F# minor (3#), C# minor (4#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), E minor (1#), B minor (2#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), F# minor (3#), B minor (2#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), F# minor (3#), C# minor (4#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), F# minor (3#), F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), F# minor (3#), C# minor (4#), B minor (2#), B minor (2#), E minor (1#), A minor (0), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E major (4#), E minor (1#), B minor (2#), B major (5#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), F# minor (3#), C# minor (4#), C# minor (4#)
