 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, rowcost
D minor (1b), 0, 2, 2, 5, 1, 1, 2, 1, 3, 0, 0, 2, 1, 2, 2, 5, 1, 1, 2, 1, 3, 0, 0, 2, 1, 1, 3, 0, 2, 5, 5, 3, 3, 3, 4, 1, 2, 4, 4, 2, 0, 0, 5, 4, 3, 2, 4, 1, 0, 1, 1, 2, 1, 2, 1, 1, 4, 6, 2, 4, 1, 0, 3, 2, 1, 1, 5, 0,  , 9, 6, 5, 4, 1, 164
E minor (1#), 1, 4, 2, 5, 1, 2, 5, 1, 6, 2, 2, 5, 5, 4, 2, 5, 1, 2, 5, 1, 6, 2, 2, 5, 5, 3, 1, 2, 3, 4, 5, 3, 2, 4, 4, 4, 5, 5, 4, 3, 1, 3, 5, 7, 5, 0, 6, 2, 3, 3, 1, 4, 0, 4, 3, 2, 6, 5, 3, 3, 1, 1, 4, 5, 1, 1, 5, 2,  , 6, 7, 10, 4, 4, 250
D minor mel (1b), 1, 3, 3, 6, 1, 2, 3, 1, 2, 1, 1, 3, 2, 3, 3, 6, 1, 2, 3, 1, 2, 1, 1, 3, 2, 2, 4, 0, 2, 6, 6, 3, 4, 4, 5, 2, 3, 5, 5, 2, 1, 1, 6, 5, 4, 1, 4, 1, 1, 2, 2, 3, 1, 3, 2, 0, 4, 5, 3, 5, 1, 1, 4, 2, 2, 1, 6, 0,  , 8, 7, 6, 4, 2, 208
E minor mel (1#), 1, 5, 1, 6, 1, 3, 5, 2, 6, 2, 2, 5, 5, 5, 1, 6, 1, 3, 5, 2, 6, 2, 2, 5, 5, 4, 2, 2, 3, 5, 6, 4, 3, 4, 5, 5, 6, 6, 5, 4, 1, 2, 6, 8, 5, 1, 6, 3, 3, 3, 1, 5, 1, 5, 2, 2, 7, 6, 4, 4, 1, 1, 4, 5, 2, 0, 6, 2,  , 7, 8, 11, 5, 5, 283
F major blues (1b), 1, 4, 4, 4, 1, 1, 4, 1, 3, 1, 1, 2, 3, 4, 4, 4, 1, 1, 4, 1, 3, 1, 1, 2, 3, 2, 3, 0, 2, 4, 5, 4, 3, 6, 5, 2, 2, 4, 3, 1, 1, 4, 4, 4, 3, 1, 3, 0, 1, 2, 3, 2, 0, 3, 2, 2, 2, 4, 2, 4, 1, 1, 3, 2, 1, 2, 4, 0,  , 10, 8, 8, 3, 2, 197
G major blues (1#), 1, 3, 4, 7, 2, 3, 4, 2, 3, 1, 1, 3, 4, 3, 4, 7, 2, 3, 4, 2, 3, 1, 1, 3, 4, 2, 4, 1, 2, 5, 6, 4, 4, 4, 5, 3, 4, 5, 6, 3, 1, 2, 6, 5, 4, 2, 5, 2, 2, 3, 2, 4, 1, 4, 3, 2, 4, 6, 4, 5, 1, 1, 4, 3, 2, 2, 7, 1,  , 9, 7, 8, 4, 3, 252
D minor blues (1b), 1, 3, 4, 5, 1, 1, 4, 1, 3, 1, 1, 3, 3, 3, 4, 5, 1, 1, 4, 1, 3, 1, 1, 3, 3, 2, 3, 0, 3, 5, 5, 3, 3, 6, 5, 2, 2, 5, 4, 1, 1, 2, 5, 5, 4, 1, 4, 0, 1, 2, 3, 2, 0, 3, 3, 2, 3, 5, 2, 5, 1, 1, 4, 2, 1, 2, 5, 0,  , 10, 7, 7, 4, 2, 209
E minor blues (1#), 1, 5, 4, 7, 2, 3, 6, 2, 6, 1, 1, 4, 5, 5, 4, 7, 2, 3, 6, 2, 6, 1, 1, 4, 5, 4, 4, 1, 3, 7, 6, 5, 4, 6, 5, 5, 5, 7, 6, 3, 1, 2, 7, 7, 6, 2, 5, 2, 2, 4, 2, 4, 1, 6, 3, 2, 6, 8, 5, 6, 2, 1, 5, 4, 2, 2, 7, 1,  , 10, 8, 11, 7, 5, 310
F dorian (1b), 1, 3, 4, 4, 1, 1, 3, 0, 2, 1, 1, 2, 3, 3, 4, 4, 1, 1, 3, 0, 2, 1, 1, 2, 3, 1, 3, 0, 1, 4, 5, 3, 3, 4, 4, 1, 2, 3, 3, 1, 1, 4, 4, 3, 3, 0, 3, 0, 1, 2, 2, 2, 0, 2, 2, 0, 2, 3, 2, 3, 1, 1, 3, 2, 1, 2, 4, 0,  , 7, 7, 6, 2, 1, 165
G dorian (1#), 1, 2, 2, 7, 2, 3, 4, 2, 2, 1, 1, 3, 4, 2, 2, 7, 2, 3, 4, 2, 2, 1, 1, 3, 4, 2, 3, 1, 2, 4, 5, 4, 4, 3, 4, 3, 4, 5, 6, 3, 1, 1, 6, 5, 4, 1, 5, 2, 2, 3, 2, 4, 1, 4, 2, 1, 4, 5, 4, 4, 1, 1, 4, 3, 2, 1, 7, 1,  , 7, 6, 8, 3, 3, 228
F phrygian (1b), 0, 2, 2, 2, 0, 0, 1, 0, 2, 0, 0, 1, 2, 2, 2, 2, 0, 0, 1, 0, 2, 0, 0, 1, 2, 0, 1, 0, 2, 2, 3, 2, 1, 4, 2, 0, 0, 2, 1, 1, 0, 3, 2, 2, 1, 1, 2, 0, 0, 0, 2, 1, 0, 0, 1, 1, 1, 3, 0, 1, 0, 0, 1, 1, 0, 1, 2, 0,  , 9, 5, 6, 3, 0, 94
G phrygian (1#), 1, 2, 4, 5, 1, 1, 3, 0, 2, 1, 1, 2, 3, 2, 4, 5, 1, 1, 3, 0, 2, 1, 1, 2, 3, 1, 3, 0, 1, 4, 5, 2, 3, 4, 4, 1, 2, 3, 4, 1, 1, 2, 4, 3, 3, 0, 4, 0, 1, 2, 2, 2, 0, 2, 3, 0, 2, 3, 2, 4, 1, 1, 3, 2, 1, 2, 5, 0,  , 7, 6, 6, 3, 1, 167
F lydian (1b), 1, 3, 4, 4, 1, 1, 3, 0, 2, 1, 1, 2, 3, 3, 4, 4, 1, 1, 3, 0, 2, 1, 1, 2, 3, 1, 3, 0, 1, 4, 5, 3, 3, 4, 4, 1, 2, 3, 3, 1, 1, 4, 4, 3, 3, 0, 3, 0, 1, 2, 2, 2, 0, 2, 2, 0, 2, 3, 2, 3, 1, 1, 3, 2, 1, 2, 4, 0,  , 7, 7, 6, 2, 1, 165
G lydian (1#), 1, 2, 2, 7, 2, 3, 4, 2, 2, 1, 1, 3, 4, 2, 2, 7, 2, 3, 4, 2, 2, 1, 1, 3, 4, 2, 3, 1, 2, 4, 5, 4, 4, 3, 4, 3, 4, 5, 6, 3, 1, 1, 6, 5, 4, 1, 5, 2, 2, 3, 2, 4, 1, 4, 2, 1, 4, 5, 4, 4, 1, 1, 4, 3, 2, 1, 7, 1,  , 7, 6, 8, 3, 3, 228
F mixolydian (1b), 0, 2, 2, 2, 0, 0, 1, 0, 2, 0, 0, 1, 2, 2, 2, 2, 0, 0, 1, 0, 2, 0, 0, 1, 2, 0, 1, 0, 2, 2, 3, 2, 1, 4, 2, 0, 0, 2, 1, 1, 0, 3, 2, 2, 1, 1, 2, 0, 0, 0, 2, 1, 0, 0, 1, 1, 1, 3, 0, 1, 0, 0, 1, 1, 0, 1, 2, 0,  , 9, 5, 6, 3, 0, 94
G mixolydian (1#), 1, 2, 4, 5, 1, 1, 3, 0, 2, 1, 1, 2, 3, 2, 4, 5, 1, 1, 3, 0, 2, 1, 1, 2, 3, 1, 3, 0, 1, 4, 5, 2, 3, 4, 4, 1, 2, 3, 4, 1, 1, 2, 4, 3, 3, 0, 4, 0, 1, 2, 2, 2, 0, 2, 3, 0, 2, 3, 2, 4, 1, 1, 3, 2, 1, 2, 5, 0,  , 7, 6, 6, 3, 1, 167
F aeolian (1b), 0, 2, 3, 3, 1, 0, 2, 0, 3, 0, 0, 1, 2, 2, 3, 3, 1, 0, 2, 0, 3, 0, 0, 1, 2, 0, 2, 0, 1, 3, 4, 3, 2, 3, 3, 0, 1, 2, 2, 1, 0, 3, 3, 2, 2, 1, 3, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 4, 1, 2, 1, 0, 2, 2, 0, 2, 3, 0,  , 8, 6, 5, 2, 0, 121
G aeolian (1#), 1, 1, 3, 6, 2, 2, 4, 1, 2, 1, 1, 3, 4, 1, 3, 6, 2, 2, 4, 1, 2, 1, 1, 3, 4, 1, 2, 1, 2, 3, 4, 3, 3, 3, 3, 2, 3, 4, 5, 2, 1, 2, 5, 4, 4, 0, 5, 1, 2, 3, 2, 3, 0, 3, 3, 1, 3, 4, 3, 3, 1, 1, 4, 3, 1, 2, 6, 1,  , 6, 5, 7, 2, 2, 195
F locrian (1b), 0, 3, 2, 1, 0, 0, 2, 1, 2, 0, 0, 0, 1, 3, 2, 1, 0, 0, 2, 1, 2, 0, 0, 0, 1, 1, 1, 0, 1, 1, 3, 3, 0, 5, 3, 1, 0, 3, 1, 0, 0, 3, 1, 3, 0, 1, 1, 0, 0, 0, 2, 0, 0, 1, 1, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0,  , 10, 6, 7, 3, 1, 95
G locrian (1#), 0, 1, 3, 4, 1, 0, 2, 0, 3, 0, 0, 1, 2, 1, 3, 4, 1, 0, 2, 0, 3, 0, 0, 1, 2, 0, 2, 0, 1, 3, 4, 2, 2, 3, 3, 0, 1, 2, 3, 1, 0, 1, 3, 2, 2, 1, 4, 0, 0, 1, 1, 1, 0, 1, 2, 1, 2, 4, 1, 3, 1, 0, 2, 2, 0, 2, 4, 0,  , 8, 5, 5, 3, 0, 123
Bb major (2b), 0, 2, 2, 2, 0, 0, 1, 0, 1, 0, 0, 1, 2, 2, 2, 2, 0, 0, 1, 0, 1, 0, 0, 1, 2, 0, 1, 0, 2, 2, 3, 2, 1, 4, 2, 0, 0, 4, 1, 1, 0, 3, 2, 2, 1, 2, 2, 0, 0, 0, 2, 1, 0, 0, 1, 1, 1, 3, 0, 1, 0, 0, 1, 1, 0, 1, 2, 0,  , 8, 5, 5, 3, 0, 93
D major (2#), 1, 2, 2, 7, 2, 3, 4, 2, 2, 1, 1, 4, 3, 2, 2, 7, 2, 3, 4, 2, 2, 1, 1, 4, 3, 2, 3, 1, 3, 5, 5, 4, 4, 3, 4, 3, 4, 6, 6, 3, 1, 1, 7, 6, 5, 1, 5, 2, 2, 3, 2, 4, 1, 4, 2, 1, 5, 6, 4, 4, 1, 1, 5, 3, 2, 1, 7, 1,  , 7, 6, 7, 3, 3, 236
G minor (2b), 0, 0, 1, 4, 1, 1, 2, 1, 2, 0, 0, 2, 3, 0, 1, 4, 1, 1, 2, 1, 2, 0, 0, 2, 3, 0, 0, 1, 3, 1, 2, 2, 1, 3, 1, 1, 1, 3, 3, 2, 0, 1, 3, 3, 2, 1, 4, 1, 1, 1, 2, 2, 0, 1, 2, 2, 2, 4, 1, 1, 0, 0, 2, 2, 0, 1, 4, 1,  , 8, 3, 7, 3, 1, 124
B minor (2#), 0, 3, 1, 6, 2, 2, 4, 3, 4, 0, 0, 3, 4, 3, 1, 6, 2, 2, 4, 3, 4, 0, 0, 3, 4, 3, 2, 1, 4, 5, 3, 6, 3, 5, 3, 4, 4, 5, 5, 3, 0, 0, 6, 7, 5, 1, 3, 2, 1, 3, 1, 3, 1, 5, 1, 2, 6, 6, 4, 6, 2, 0, 4, 4, 1, 1, 6, 1,  , 10, 6, 10, 8, 6, 242
G minor mel (2b), 0, 0, 2, 5, 2, 1, 3, 1, 3, 0, 0, 2, 3, 0, 2, 5, 2, 1, 3, 1, 3, 0, 0, 2, 3, 0, 1, 1, 2, 2, 3, 3, 2, 2, 2, 1, 2, 3, 4, 2, 0, 1, 4, 3, 3, 1, 5, 1, 1, 2, 1, 2, 0, 2, 2, 2, 3, 5, 2, 2, 1, 0, 3, 3, 0, 2, 5, 1,  , 7, 4, 6, 2, 1, 151
B minor mel (2#), 0, 4, 1, 7, 3, 2, 4, 3, 4, 1, 1, 2, 3, 4, 1, 7, 3, 2, 4, 3, 4, 1, 1, 2, 3, 3, 3, 1, 5, 4, 4, 6, 2, 6, 4, 4, 4, 4, 6, 2, 0, 0, 5, 6, 4, 1, 2, 2, 1, 3, 1, 4, 1, 6, 2, 3, 5, 5, 5, 6, 2, 0, 3, 3, 1, 1, 5, 1,  , 9, 6, 11, 9, 6, 247
Bb major blues (2b), 0, 4, 3, 3, 1, 0, 4, 1, 3, 1, 1, 2, 2, 4, 3, 3, 1, 0, 4, 1, 3, 1, 1, 2, 2, 1, 2, 1, 2, 4, 5, 4, 2, 5, 5, 1, 2, 5, 2, 2, 0, 3, 3, 4, 3, 2, 4, 1, 1, 2, 2, 2, 0, 2, 1, 3, 3, 5, 2, 4, 2, 0, 2, 3, 0, 2, 3, 1,  , 9, 8, 7, 4, 1, 182
D major blues (2#), 1, 4, 4, 8, 3, 3, 4, 2, 2, 2, 2, 4, 3, 4, 4, 8, 3, 3, 4, 2, 2, 2, 2, 4, 3, 2, 5, 1, 4, 6, 7, 4, 4, 5, 6, 3, 4, 6, 7, 3, 1, 2, 7, 6, 5, 1, 5, 2, 2, 3, 2, 5, 1, 5, 4, 2, 5, 6, 5, 5, 1, 1, 5, 3, 2, 2, 7, 1,  , 8, 7, 8, 5, 3, 277
G minor blues (2b), 0, 3, 3, 4, 1, 0, 4, 1, 4, 1, 1, 2, 2, 3, 3, 4, 1, 0, 4, 1, 4, 1, 1, 2, 2, 1, 2, 1, 2, 4, 5, 4, 2, 5, 5, 1, 2, 3, 3, 2, 0, 2, 3, 4, 3, 1, 5, 1, 1, 2, 2, 2, 0, 2, 2, 3, 3, 5, 2, 5, 2, 0, 2, 3, 0, 2, 4, 1,  , 10, 7, 8, 5, 1, 187
B minor blues (2#), 1, 6, 4, 8, 3, 3, 6, 2, 5, 2, 2, 4, 5, 6, 4, 8, 3, 3, 6, 2, 5, 2, 2, 4, 5, 4, 5, 1, 5, 7, 6, 5, 4, 8, 6, 5, 5, 6, 7, 3, 1, 2, 7, 7, 6, 1, 4, 2, 2, 4, 2, 5, 1, 7, 4, 2, 6, 7, 6, 6, 2, 1, 5, 4, 2, 2, 7, 1,  , 10, 8, 12, 10, 5, 329
Bb dorian (2b), 0, 2, 3, 3, 1, 0, 2, 0, 2, 0, 0, 1, 2, 2, 3, 3, 1, 0, 2, 0, 2, 0, 0, 1, 2, 0, 2, 0, 1, 3, 4, 3, 2, 3, 3, 0, 1, 4, 2, 1, 0, 3, 3, 2, 2, 2, 3, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 4, 1, 2, 1, 0, 2, 2, 0, 2, 3, 0,  , 7, 6, 4, 2, 0, 120
D dorian (2#), 1, 3, 2, 8, 3, 3, 4, 2, 2, 2, 2, 3, 2, 3, 2, 8, 3, 3, 4, 2, 2, 2, 2, 3, 2, 2, 4, 1, 4, 4, 6, 4, 3, 4, 5, 3, 4, 5, 7, 2, 1, 1, 6, 5, 4, 1, 4, 2, 2, 3, 2, 5, 1, 5, 3, 2, 4, 5, 5, 4, 1, 1, 4, 2, 2, 1, 6, 1,  , 6, 6, 8, 4, 3, 241
Bb phrygian (2b), 1, 3, 4, 6, 2, 1, 4, 0, 5, 2, 2, 2, 1, 3, 4, 6, 2, 1, 4, 0, 5, 2, 2, 2, 1, 1, 4, 0, 3, 5, 6, 3, 2, 5, 4, 1, 3, 3, 5, 0, 1, 2, 4, 3, 4, 0, 3, 0, 1, 3, 2, 3, 0, 3, 4, 1, 3, 4, 4, 5, 2, 1, 3, 2, 1, 2, 4, 0,  , 6, 5, 6, 7, 1, 200
D phrygian (2#), 1, 2, 3, 7, 3, 2, 5, 1, 5, 2, 2, 3, 2, 2, 3, 7, 3, 2, 5, 1, 5, 2, 2, 3, 2, 1, 3, 1, 4, 4, 5, 4, 2, 4, 3, 2, 4, 4, 6, 1, 1, 2, 5, 4, 5, 0, 4, 1, 2, 4, 2, 4, 0, 4, 4, 2, 4, 5, 5, 4, 2, 1, 4, 3, 1, 2, 5, 1,  , 5, 4, 7, 6, 2, 228
Bb lydian (2b), 1, 2, 4, 5, 2, 2, 4, 1, 3, 1, 1, 3, 4, 2, 4, 5, 2, 2, 4, 1, 3, 1, 1, 3, 4, 1, 3, 1, 3, 4, 5, 4, 3, 5, 4, 2, 3, 4, 4, 2, 1, 4, 5, 4, 4, 1, 5, 1, 2, 3, 3, 3, 0, 3, 2, 2, 3, 5, 3, 4, 1, 1, 4, 3, 1, 2, 5, 1,  , 9, 7, 8, 4, 2, 219
D lydian (2#), 1, 2, 4, 6, 2, 2, 5, 1, 6, 1, 1, 4, 3, 2, 4, 6, 2, 2, 5, 1, 6, 1, 1, 4, 3, 1, 3, 1, 4, 6, 5, 4, 3, 5, 4, 2, 4, 5, 5, 2, 1, 2, 6, 5, 6, 1, 5, 1, 2, 4, 3, 3, 0, 3, 3, 2, 5, 7, 4, 5, 2, 1, 5, 4, 1, 2, 6, 1,  , 9, 6, 7, 7, 2, 250
Bb mixolydian (2b), 1, 1, 3, 5, 2, 2, 4, 1, 2, 1, 1, 3, 4, 1, 3, 5, 2, 2, 4, 1, 2, 1, 1, 3, 4, 1, 2, 1, 2, 3, 4, 4, 3, 3, 3, 2, 3, 4, 4, 2, 1, 4, 5, 4, 4, 0, 5, 1, 2, 3, 2, 3, 0, 3, 2, 1, 3, 4, 3, 3, 1, 1, 4, 3, 1, 2, 5, 1,  , 6, 6, 7, 2, 2, 194
D mixolydian (2#), 0, 1, 3, 3, 1, 0, 2, 0, 3, 0, 0, 1, 2, 1, 3, 3, 1, 0, 2, 0, 3, 0, 0, 1, 2, 0, 2, 0, 1, 3, 4, 3, 2, 3, 3, 0, 1, 2, 2, 1, 0, 3, 3, 2, 2, 1, 4, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 4, 1, 3, 1, 0, 2, 2, 0, 2, 3, 0,  , 8, 6, 5, 3, 0, 122
Bb aeolian (2b), 1, 1, 3, 5, 2, 2, 4, 1, 2, 1, 1, 3, 4, 1, 3, 5, 2, 2, 4, 1, 2, 1, 1, 3, 4, 1, 2, 1, 2, 3, 4, 4, 3, 3, 3, 2, 3, 4, 4, 2, 1, 4, 5, 4, 4, 0, 5, 1, 2, 3, 2, 3, 0, 3, 2, 1, 3, 4, 3, 3, 1, 1, 4, 3, 1, 2, 5, 1,  , 6, 6, 7, 2, 2, 194
D aeolian (2#), 0, 1, 3, 3, 1, 0, 2, 0, 3, 0, 0, 1, 2, 1, 3, 3, 1, 0, 2, 0, 3, 0, 0, 1, 2, 0, 2, 0, 1, 3, 4, 3, 2, 3, 3, 0, 1, 2, 2, 1, 0, 3, 3, 2, 2, 1, 4, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 4, 1, 3, 1, 0, 2, 2, 0, 2, 3, 0,  , 8, 6, 5, 3, 0, 122
Bb locrian (2b), 1, 2, 4, 4, 1, 1, 3, 0, 2, 1, 1, 2, 3, 2, 4, 4, 1, 1, 3, 0, 2, 1, 1, 2, 3, 1, 3, 0, 1, 4, 5, 3, 3, 4, 4, 1, 2, 3, 3, 1, 1, 4, 4, 3, 3, 0, 4, 0, 1, 2, 2, 2, 0, 2, 2, 0, 2, 3, 2, 4, 1, 1, 3, 2, 1, 2, 4, 0,  , 7, 7, 6, 3, 1, 166
D locrian (2#), 0, 1, 2, 2, 0, 0, 1, 0, 2, 0, 0, 1, 2, 1, 2, 2, 0, 0, 1, 0, 2, 0, 0, 1, 2, 0, 1, 0, 2, 2, 3, 2, 1, 4, 2, 0, 0, 2, 1, 1, 0, 3, 2, 2, 1, 1, 3, 0, 0, 0, 2, 1, 0, 0, 1, 1, 1, 3, 0, 2, 0, 0, 1, 1, 0, 1, 2, 0,  , 9, 5, 6, 4, 0, 95
Eb major (3b), 0, 2, 3, 3, 1, 0, 2, 0, 3, 0, 0, 1, 2, 2, 3, 3, 1, 0, 2, 0, 3, 0, 0, 1, 2, 0, 2, 0, 1, 3, 4, 3, 2, 3, 3, 0, 1, 2, 2, 1, 0, 3, 3, 2, 2, 1, 3, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 4, 1, 2, 1, 0, 2, 2, 0, 2, 3, 0,  , 8, 6, 5, 2, 0, 121
A major (3#), 1, 1, 3, 6, 2, 2, 4, 1, 2, 1, 1, 3, 4, 1, 3, 6, 2, 2, 4, 1, 2, 1, 1, 3, 4, 1, 2, 1, 2, 3, 4, 3, 3, 3, 3, 2, 3, 4, 5, 2, 1, 2, 5, 4, 4, 0, 5, 1, 2, 3, 2, 3, 0, 3, 3, 1, 3, 4, 3, 3, 1, 1, 4, 3, 1, 2, 6, 1,  , 6, 5, 7, 2, 2, 195
C minor (3b), 0, 2, 2, 5, 1, 1, 2, 1, 3, 0, 0, 2, 1, 2, 2, 5, 1, 1, 2, 1, 3, 0, 0, 2, 1, 1, 3, 0, 2, 5, 5, 3, 3, 3, 4, 1, 2, 4, 4, 2, 0, 0, 5, 4, 3, 2, 4, 1, 0, 1, 1, 2, 1, 2, 1, 1, 4, 6, 2, 4, 1, 0, 3, 2, 1, 1, 5, 0,  , 9, 6, 5, 4, 1, 164
